latitude,longitude,base,weekday,day,month,year,hour,isWeekend,isHoliday,demand
40.6964,-73.9944,3,4,23,5,2014,20,0,0,136
40.7306,-74.0038,3,2,30,4,2014,9,0,0,87
40.6942,-73.9835,3,5,19,4,2014,11,0,0,35
40.7491,-73.9916,1,2,4,6,2014,11,0,0,63
40.775,-73.9886,1,6,24,8,2014,21,1,0,41
40.7378,-73.99,1,4,11,7,2014,15,0,0,109
40.8723,-73.8187,1,6,21,9,2014,14,1,0,51
40.7605,-73.9808,2,1,6,5,2014,21,1,0,38
40.7394,-73.9941,0,4,18,7,2014,15,0,0,21
40.7395,-73.9925,0,2,14,5,2014,9,0,0,6
40.7884,-73.955,1,6,18,5,2014,12,1,0,61
40.7703,-73.9479,1,4,18,7,2014,7,0,0,64
40.7267,-74.0057,1,3,15,5,2014,20,0,0,117
40.7385,-73.9959,3,3,31,7,2014,23,0,0,54
40.8056,-73.9509,3,0,1,9,2014,2,0,1,8
40.7728,-73.9552,2,1,17,6,2014,15,1,0,59
40.7201,-74.0102,1,4,15,8,2014,21,0,0,99
40.6855,-73.9439,2,2,27,8,2014,0,0,0,17
40.718,-73.9977,2,0,19,5,2014,8,0,0,32
40.7173,-73.9629,1,3,12,6,2014,12,0,0,74
40.7461,-73.9563,1,4,19,9,2014,19,0,0,111
40.7298,-73.9786,1,5,14,6,2014,17,0,0,83
40.7262,-73.9929,0,4,4,4,2014,17,0,0,34
40.7685,-73.8625,1,3,31,7,2014,11,0,0,56
40.7757,-73.9787,3,3,19,6,2014,17,0,0,113
40.7583,-73.9774,2,3,28,8,2014,15,0,0,117
40.7401,-74.0058,2,5,6,9,2014,1,0,0,104
40.7726,-73.9653,2,0,8,9,2014,10,0,0,78
40.6765,-73.9806,1,1,12,8,2014,21,1,0,76
40.7556,-73.9754,1,1,15,4,2014,20,1,0,103
40.7803,-73.9477,3,6,28,9,2014,12,1,0,64
40.736,-73.9874,2,1,15,7,2014,18,1,0,210
40.7331,-73.9983,3,5,14,6,2014,20,0,0,46
40.6735,-73.9659,3,0,11,8,2014,0,0,0,15
40.7606,-74.0025,1,0,18,8,2014,7,0,0,59
40.71,-73.9629,3,0,28,7,2014,20,0,0,57
40.645,-73.7871,1,0,28,4,2014,23,0,0,16
40.769,-73.9814,2,3,21,8,2014,13,0,0,87
40.7508,-73.9842,1,5,13,9,2014,22,0,0,112
40.7139,-74.0153,3,4,25,7,2014,17,0,0,84
40.7363,-73.9985,3,4,5,9,2014,19,0,0,101
40.7693,-73.965,1,4,16,5,2014,15,0,0,150
40.6867,-73.9735,3,5,12,4,2014,20,0,0,82
40.7138,-74.0121,1,3,1,5,2014,0,0,0,22
40.6747,-73.9412,2,1,15,4,2014,23,1,0,10
40.7551,-73.984,2,0,15,9,2014,21,0,0,90
40.7049,-73.756,2,3,25,9,2014,16,0,0,146
40.7074,-74.0041,1,6,31,8,2014,0,1,0,40
40.7744,-73.9635,0,5,10,5,2014,19,0,0,13
40.7221,-74.0041,1,0,25,8,2014,6,0,0,40
40.6737,-73.992,2,1,16,9,2014,23,1,0,32
40.7797,-73.9771,3,1,15,4,2014,12,1,0,48
40.9529,-73.7928,1,1,15,4,2014,22,1,0,72
40.7057,-74.0068,1,1,29,7,2014,16,1,0,109
40.7519,-73.9741,3,5,6,9,2014,13,0,0,52
40.73,-74.0005,3,4,30,5,2014,18,0,0,85
40.7333,-73.9798,2,4,29,8,2014,14,0,0,92
40.7426,-73.9921,2,2,23,7,2014,18,0,0,166
40.7613,-73.9638,3,6,24,8,2014,16,1,0,45
40.7435,-73.9795,0,3,22,5,2014,22,0,0,11
40.763,-73.9778,4,5,20,9,2014,14,0,0,84
40.7453,-74.0022,2,6,29,6,2014,16,1,0,56
40.748,-73.9917,2,4,20,6,2014,19,0,0,77
40.7769,-73.9772,2,3,24,7,2014,17,0,0,148
40.7524,-73.9296,1,6,31,8,2014,18,1,0,48
40.7561,-73.9981,3,1,3,6,2014,14,1,0,75
40.7615,-73.9729,0,2,4,6,2014,9,0,0,8
40.7289,-74.0071,2,2,24,9,2014,16,0,0,106
40.7475,-73.9436,2,0,29,9,2014,19,0,0,112
40.6484,-73.7833,2,5,28,6,2014,17,0,0,83
40.7499,-73.9933,1,6,21,9,2014,21,1,0,36
40.7923,-73.9261,3,6,11,5,2014,16,1,0,60
40.6949,-74.178,3,3,4,9,2014,21,0,0,104
40.7584,-73.9728,3,6,15,6,2014,17,1,0,48
